"product","substance_name","substance_synonym","abbreviation","abbreviation_synonym","substance_group","cas_number","source","source_text"
"Coating for polyethylene film used e.g. for packaging toys and foodstuff","1-Alkanol, 1H,1H,2H,2H-perfluoro-, 1-(hydrogen sulfate), ammonium salt (1:1)",,,,"1-Alkanol, 1H,1H,2H,2H-perfluoro-, 1-(hydrogen sulfate), ammonium salt (1:1)","63225-59-2","A.105","A.105 row: 1-Alkanol, 1H,1H,2H,2H-perfluoro-, 1-(hydrogen sulfate), ammonium salt (1:1) -- Coating for polyethylene film used e.g. for packaging toys and foodstuff"
"Coating for polyethylene film used e.g. for packaging toys and foodstuff","Ammonium perfluoroalkyl carboxylate",,,,"Ammonium perfluoroalkyl carboxylate","6130-43-4","A.105","A.105 row: Ammonium perfluoroalkyl carboxylate -- Coating for polyethylene film used e.g. for packaging toys and foodstuff."
"Coating for polyethylene film used e.g. for packaging toys and foodstuff","Ammonium perfluoroalkyl carboxylate",,,,"Ammonium perfluoroalkyl carboxylate","4149-60-4","A.105","A.105 row: Ammonium perfluoroalkyl carboxylate -- Coating for polyethylene film used e.g. for packaging toys and foodstuff."
"Coating for polyethylene film used e.g. for packaging toys and foodstuff","Ammonium perfluoroalkyl carboxylate",,,,"Ammonium perfluoroalkyl carboxylate","4234-23-5","A.105","A.105 row: Ammonium perfluoroalkyl carboxylate -- Coating for polyethylene film used e.g. for packaging toys and foodstuff."
"Coating for polyethylene film used e.g. for packaging toys and foodstuff","Ammonium perfluoroalkyl carboxylate",,,,"Ammonium perfluoroalkyl carboxylate","4288-72-6","A.105","A.105 row: Ammonium perfluoroalkyl carboxylate -- Coating for polyethylene film used e.g. for packaging toys and foodstuff."
"Coating for polyethylene film used e.g. for packaging toys and foodstuff","Perfluoroalkyl phosphonic acids",,"PFPAs",,"Perfluoroalkyl phosphonic acids","40143-76-8","A.105","A.105 row: Perfluoroalkyl phosphonic acids -- Coating for polyethylene film used e.g. for packaging toys and foodstuff."
"Coating for polyethylene film used e.g. for packaging toys and foodstuff","Perfluoroalkyl phosphonic acids",,"PFPAs",,"Perfluoroalkyl phosphonic acids","40143-78-0","A.105","A.105 row: Perfluoroalkyl phosphonic acids -- Coating for polyethylene film used e.g. for packaging toys and foodstuff."
"Coating for polyethylene film used e.g. for packaging toys and foodstuff","Perfluoroalkyl phosphonic acids",,"PFPAs",,"Perfluoroalkyl phosphonic acids","52299-26-0","A.105","A.105 row: Perfluoroalkyl phosphonic acids -- Coating for polyethylene film used e.g. for packaging toys and foodstuff."
"Coating for polyethylene film used e.g. for packaging toys and foodstuff","Perfluoroalkyl phosphonic acids",,"PFPAs",,"Perfluoroalkyl phosphonic acids","63225-55-8","A.105","A.105 row: Perfluoroalkyl phosphonic acids -- Coating for polyethylene film used e.g. for packaging toys and foodstuff."
"Consumer cookware","(Perfluorobutyl)ethylene",,,,,"19430-93-4","A.105","A.105 row: (Perfluorobutyl)ethylene -- Monomers listed in Reg. 10/2011."
"Consumer cookware","2,3,3,3-tetrafluoro-2-heptafluoropropoxy)-propinoic acid","perfluoro[2(n-propoxy)propanoic acid]","GenX","HFPO-DA, FRD-903",,"13252-13-6","A.105","A.105 row: 2,3,3,3-tetrafluoro-2-heptafluoropropoxy)-propinoic acid; or perfluoro[2(n-propoxy)propanoic acid] -- PPA in Reg. 10/2011. Substitute for PFOA"
"Consumer cookware","2,3,3,4,4,5,5-Heptafluoro- 1-pentene",,,,,"1547-26-8","A.105","A.105 row: 2,3,3,4,4,5,5-Heptafluoro- 1-pentene -- Monomer Listed in 10/2011."
"Consumer cookware","2H-perfluoro-[(5,8,11,14-tetramethyl)-tetraethyleneglycol ethyl propyl ether]",,,,,"37486-69-4","A.105","A.105 row: 2H-perfluoro-[(5,8,11,14-tetramethyl)-tetraethyleneglycol ethyl propyl ether] -- PPA Listed in 10/2011."
"Consumer cookware","3H-perfluoro-3-[(3-methoxy-propoxy)propanoic acid], ammonium salt",,"ADONA",,,"958445-44-8","A.105","A.105 row: 3H-perfluoro-3-[(3-methoxy-propoxy)propanoic acid], ammonium salt -- PPA Listed in 10/2011."
"Consumer cookware","Chlorotrifluoroethylene",,,,,"79-38-9","A.105","A.105 row: Chlorotrifluoroethylene -- Monomer Listed in 10/2011. (The monomer is not a PFAS, the polymer is a PFAS)."
"Consumer cookware","Fluorinated Ethylene Propylene (FEP)",,"FEP",,,"116-15-4","A.105","A.105 row: Perfluoroethylene propylene, or Fluorinated Ethylene Propylene (FEP); is a copolymer of: Hexafluoropropene (see above), and-tetrafluoroethylene -- Polymer for coating cookware, such as frying pans and articles for oven baking, moulded articles for industrial use, and for use in non-porous (very good chemical resistance) films with excellent"
"Consumer cookware","Hexafluoropropylene",,,,,"116-15-4","A.105","A.105 row: Hexafluoropropylene -- Monomer in Reg. 10/2011."
"Consumer cookware","Perfluoro acetic acid, α-substituted with the copolymer of perfluoro- 1,2-propylene glycol and perfluoro-1,1-ethylene glycol, terminated with chlorohexa-fluoropropyloxy groups",,,,,"329238-24-6","A.105","A.105 row: Perfluoro acetic acid, α-substituted with the copolymer of perfluoro- 1,2-propylene glycol and perfluoro-1,1-ethylene glycol, terminated with chlorohexa-fluoropropyloxy groups -- PPA Listed in 10/2011."
"Consumer cookware","Perfluoro[(2-ethyloxy-ethoxy)acetic acid]], ammonium salt",,,,,"908020-52-0","A.105","A.105 row: Perfluoro[(2-ethyloxy-ethoxy)acetic acid]], ammonium salt -- Monomer and emulsifier (PPA) Listed in 10/2011."
"Consumer cookware","Perfluoro[2-(poly(n-propoxy))propanoic acid]","perfluoropolyether carboxylic acid",,,,"51798-33-5","A.105","A.105 row: Perfluoro[2-(poly(n-propoxy))propanoic acid] or perfluoropolyether carboxylic acid -- Monomer and emulsifier (PPA) Listed in 10/2011."
"Consumer cookware","Perfluoroalkoxy alkanes (PFA)",,"PFA",,,"26655-00-5, 1623-05-8,116-14-3","A.105","A.105 row: Perfluoroalkoxy alkanes (PFA); a copolymer of: Perfluoroalkyl vinyl ether, and tetrafluoroethene -- Polymer. Non-stick coating for pans and facilitates cleaning of the cookware."
"Consumer cookware","Perfluoroethyl vinyl ether",,"PFEVE",,"Perfluoroalkyl vinyl ethers","10493-43-3","A.105","A.105 row: Perfluoroalkyl vinyl ethers: Perfluoromethyl vinyl ether Perfluoroethyl vinyl ether Perfluoropropyl vinyl ether -- Monomers listed in Reg. 10/2011."
"Consumer cookware","Perfluoroethylene propylene,",,"FEP",,,"25067-11-2","A.105","A.105 row: Perfluoroethylene propylene, or Fluorinated Ethylene Propylene (FEP); is a copolymer of: Hexafluoropropene (see above), and-tetrafluoroethylene -- Polymer for coating cookware, such as frying pans and articles for oven baking, moulded articles for industrial use, and for use in non-porous (very good chemical resistance) films with excellent"
"Consumer cookware","Perfluoromethyl vinyl ether",,"PFMVE",,"Perfluoroalkyl vinyl ethers","1187-93-5","A.105","A.105 row: Perfluoroalkyl vinyl ethers: Perfluoromethyl vinyl ether Perfluoroethyl vinyl ether Perfluoropropyl vinyl ether -- Monomers listed in Reg. 10/2011."
"Consumer cookware","Perfluorooctanoic acid, ammonium salt",,"PFOA",,,"3825-26-1","A.105","A.105 row: Perfluorooctanoic acid, ammonium salt -- PPA listed in Reg. 10/2011. No longer used."
"Consumer cookware","Perfluoropropyl vinyl ether",,"PFPVE",,"Perfluoroalkyl vinyl ethers","1623-05-8","A.105","A.105 row: Perfluoroalkyl vinyl ethers: Perfluoromethyl vinyl ether Perfluoroethyl vinyl ether Perfluoropropyl vinyl ether -- Monomers listed in Reg. 10/2011."
"Consumer cookware","Polytetrafluoroethylene",,"PTFE",,,"9002-84-0,116-14-3","A.105","A.105 row: Polytetrafluoroethylene; a polymer of: tetrafluoroethylene -- Monomer and PPA Listed in 10/2011."
"Consumer cookware","Sodium 4-perfluorononyloxy-benzenesulphonate",,,,,"59536-17-3","A.105","A.105 row: Sodium 4-perfluorononyloxy-benzenesulphonate -- Monomer and emulsifier (PPA)"
"Consumer cookware","Vinylidene fluoride",,,,,"75-38-7","A.105","A.105 row: Vinylidene fluoride -- Monomer Listed in 10/2011. (The monomer is not a PFAS, the polymer is a PFAS)."
"Consumer cookware","perfluoro{acetic acid, 2- [(5-methoxy-1,3-dioxolan-4-yl)oxy]}, ammonium salt",,,,,"1190931-27-1","A.105","A.105 row: perfluoro{acetic acid, 2- [(5-methoxy-1,3-dioxolan-4-yl)oxy]}, ammonium salt -- PPA Listed in 10/2011."
"Food & feed packaging","(Perfluorooctylsulfonylamin opropyl)trimethylammoniu m iodide",,,,,"68310-75-8","A.105","A.105 row: (Perfluorooctylsulfonylamin opropyl)trimethylammoniu m iodide -- No data"
"Food & feed packaging","1,9- Decadiene,3,3,4,4,5,5,6,6- ,7,7,8,8-dodecafluoro-, polymer with TFE and trifluoro (trifluoromethoxy)ethene manufactured and characterized as further described in the notification.",,,,,"190062-24-9 (trifluoro ethene)","A.105","A.105 row: 1,9- Decadiene,3,3,4,4,5,5,6,6- ,7,7,8,8-dodecafluoro-, polymer with TFE and trifluoro (trifluoromethoxy)ethene manufactured and characterized as further described in the notification. --"
"Food & feed packaging","1-Butanaminium, N,N,N-tributyl-, hexafluorophosphate(1-)",,,,,"3109-63-5","A.105","A.105 row: 1-Butanaminium, N,N,N-tributyl-, hexafluorophosphate(1-) -- No data"
"Food & feed packaging","1-Hexene, 3,3,4,4,5,5,6,6,6-nonafluoro-, polymer with 1,1,2,2-tetrafluoroethene",,,,,"82606-24-4","A.105","A.105 row: 1-Hexene, 3,3,4,4,5,5,6,6,6-nonafluoro-, polymer with 1,1,2,2-tetrafluoroethene -- No data"
"Food & feed packaging","1-Octanesulfonamide, N, N’-(phosphinicobis(oxy-2, 1-ethanediyl))bis(N, ethyl- 1,1,2,2,3,3,4,4,5,5,6,6,7,7 ,8,8,8-heptadecafluoro-, ammonium salt)",,,,,"30381-98-7","A.105","A.105 row: 1-Octanesulfonamide, N, N’-(phosphinicobis(oxy-2, 1-ethanediyl))bis(N, ethyl- 1,1,2,2,3,3,4,4,5,5,6,6,7,7 ,8,8,8-heptadecafluoro-, ammonium salt) -- No data"
"Food & feed packaging","1-Octanesulfonamide, N-ethyl- 1,1,2,2,3,3,4,4,5,5,6,6,7,7 ,8,8,8-heptadecafluoro",,,,,,"A.105","A.105 row: 1-Octanesulfonamide, N-ethyl- 1,1,2,2,3,3,4,4,5,5,6,6,7,7 ,8,8,8-heptadecafluoro -- No data"
"Food & feed packaging","10:2 fluorotelomer alcohol (FTOH) and mono-phosphate or di-phosphate",,,,,,"A.105","A.105 row: 8:2, 10:2, 12:2, 14:2 or 16:2 fluorotelomer alcohol (FTOH) and mono-phosphate or di-phosphate -- No data"
"Food & feed packaging","12:2 fluorotelomer alcohol (FTOH) and mono-phosphate or di-phosphate",,,,,,"A.105","A.105 row: 8:2, 10:2, 12:2, 14:2 or 16:2 fluorotelomer alcohol (FTOH) and mono-phosphate or di-phosphate -- No data"
"Food & feed packaging","14:2 fluorotelomer alcohol (FTOH) and mono-phosphate or di-phosphate",,,,,,"A.105","A.105 row: 8:2, 10:2, 12:2, 14:2 or 16:2 fluorotelomer alcohol (FTOH) and mono-phosphate or di-phosphate -- No data"
"Food & feed packaging","16:2 fluorotelomer alcohol (FTOH) and mono-phosphate or di-phosphate",,,,,,"A.105","A.105 row: 8:2, 10:2, 12:2, 14:2 or 16:2 fluorotelomer alcohol (FTOH) and mono-phosphate or di-phosphate -- No data"
"Food & feed packaging","2,3,3,3-tetrafluoro-2-heptafluoropropoxy)-propinoic acid","perfluoro[2(n-propoxy)propanoic acid]","GenX","HFPO-DA, FRD-903",,"13252-13-6","A.105","A.105 row: 2,3,3,3-tetrafluoro-2-heptafluoropropoxy)-propinoic acid; or perfluoro[2(n-propoxy)propanoic acid] --"
"Food & feed packaging","2,3,3,4,4,5,5-Heptafluoro- 1-pentene",,,,,"1547-26-8","A.105","A.105 row: 2,3,3,4,4,5,5-Heptafluoro- 1-pentene --"
"Food & feed packaging","2,3,3,4,4,5,5-Heptafluoro- 1-pentene polymer with ethene and TFE",,,,,"94228-79-2","A.105","A.105 row: 2,3,3,4,4,5,5-Heptafluoro- 1-pentene polymer with ethene and TFE -- No data"
"Food & feed packaging","2,3-Epoxypropyl methacrylate - 2-ethoxyethyl acrylate-N-methylperfluorooctane-sulfonamidoethyl acrylate-trimethylethanolammoniu m chloride methacrylate, copolymer",,,,,"92265-81-1","A.105","A.105 row: 2,3-Epoxypropyl methacrylate - 2-ethoxyethyl acrylate-N-methylperfluorooctane-sulfonamidoethyl acrylate-trimethylethanolammoniu m chloride methacrylate, copolymer -- No data"
"Food & feed packaging","2-(Diethylamino)ethyl methacrylate – 2,3-epoxypropyl methacrylate – perfluoroalkyl(C4- C18)ethyl acryl",,,,,,"A.105","A.105 row: 2-(Diethylamino)ethyl methacrylate – 2,3-epoxypropyl methacrylate – perfluoroalkyl(C4- C18)ethyl acryl -- No data"
"Food & feed packaging","2-(Dimethylamino)ethyl methacrylate – perfluoroalkylethyl acrylate – vinyl acetate, copolymer",,,,,,"A.105","A.105 row: 2-(Dimethylamino)ethyl methacrylate – perfluoroalkylethyl acrylate – vinyl acetate, copolymer -- No data"
"Food & feed packaging","2-(Perfluorooctyl sulfonyl aminomethyl) ethyl methacrylate, copolymer [copolymer of fluorinated (meth)acrylate polymers]",,,,,,"A.105","A.105 row: 2-(Perfluorooctyl sulfonyl aminomethyl) ethyl methacrylate, copolymer [copolymer of fluorinated (meth)acrylate polymers] -- No data"
"Food & feed packaging","2-Propanoic acid, 2- ((ethyl(pentadecafluorohep tyl)-sulfonyl) amino)ethyl ester",,,,,,"A.105","A.105 row: 2-Propanoic acid, 2- ((ethyl(pentadecafluorohep tyl)-sulfonyl) amino)ethyl ester -- No data"
"Food & feed packaging","2-Propen-1-ol, reaction products with 1,1,1,2,2,3,3,4,4,5,5,6,6-tridecafluoro-6-iodohexane*, de-hydroiodinated, reaction products with epichlorohydrin and triethylenetetraamine with a fluorine content of 54%",,,,,"* 355-43-1","A.105","A.105 row: 2-Propen-1-ol, reaction products with 1,1,1,2,2,3,3,4,4,5,5,6,6-tridecafluoro-6-iodohexane*, de-hydroiodinated, reaction products with epichlorohydrin and triethylenetetraamine with a fluorine content of 54% -- No data"
"Food & feed packaging","2-Propen-1-ol, reaction products with pentafluoroiodoethane-TFE telomer, dehydroiodinated, reaction products with epichlorohydrin and triethylenetetramine",,,,,"464178-90-3","A.105","A.105 row: 2-Propen-1-ol, reaction products with pentafluoroiodoethane-TFE telomer, dehydroiodinated, reaction products with epichlorohydrin and triethylenetetramine -- No data"
"Food & feed packaging","2-Propenoic acid, 2-amino]ethylester[ethyl[(tri decafluorohexyl)sulfonyl]-",,,,,"1893-52-3","A.105","A.105 row: 2-Propenoic acid, 2-amino]ethylester[ethyl[(tri decafluorohexyl)sulfonyl]- -- No data"
"Food & feed packaging","2-Propenoic acid, 2-methyl-, 2- (dimethylamino)ethyl ester, polymer with 1-ethenyl-2-pyrrolidinone and 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl 2-propenoate, acetate",,,,,"1334473-84-5","A.105","A.105 row: 2-Propenoic acid, 2-methyl-, 2- (dimethylamino)ethyl ester, polymer with 1-ethenyl-2-pyrrolidinone and 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl 2-propenoate, acetate -- No data"
"Food & feed packaging","2-Propenoic acid, 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl ester, polymer with α-(1-oxo-2-propen-1-yl)-ω-hydroxypoly(oxy-1,2-ethanediyl)",,,,,"68228-00-2","A.105","A.105 row: 2-Propenoic acid, 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl ester, polymer with α-(1-oxo-2-propen-1-yl)-ω-hydroxypoly(oxy-1,2-ethanediyl) -- No data"
"Food & feed packaging","2-propen-1-ol, reaction products with 1,l,1,2,2,3,3,4,4,5,5,6,6-tridecafluoro-6-iodohexane, dehydroiodinated, reaction products with epichlorohydrin and triethylenetetramine",,,,,"464178-94-7","A.105","A.105 row: 2-propen-1-ol, reaction products with 1,l,1,2,2,3,3,4,4,5,5,6,6-tridecafluoro-6-iodohexane, dehydroiodinated, reaction products with epichlorohydrin and triethylenetetramine -- No data"
"Food & feed packaging","2-propenoic acid, 2-hydroxyethyl ester, polymer with α-(1-oxo-2-propen-1-yl)-ω-hydroxypoly(oxy-1,2-ethanediyl), α-(1-oxo-2-propen-1-yl)-ω-[(1-oxo-2-propen-1-yl)oxy]poly(oxy- 1,2-ethanediyl) and 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl 2-propenoate",,,,,"1012783-70-8","A.105","A.105 row: 2-propenoic acid, 2-hydroxyethyl ester, polymer with α-(1-oxo-2-propen-1-yl)-ω-hydroxypoly(oxy-1,2-ethanediyl), α-(1-oxo-2-propen-1-yl)-ω-[(1-oxo-2-propen-1-yl)oxy]poly(oxy- 1,2-ethanediyl) and 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl 2-propenoate -- No data"
"Food & feed packaging","2-propenoic acid, 2-methyl-, 2-hydroxyethyl ester polymer with 1-ethyenyl-2-pyrrolidinone, 2-propenoic acid and 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl 2-propenoate sodium salt",,,,,"1206450-10-3","A.105","A.105 row: 2-propenoic acid, 2-methyl-, 2-hydroxyethyl ester polymer with 1-ethyenyl-2-pyrrolidinone, 2-propenoic acid and 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl 2-propenoate sodium salt -- No data"
"Food & feed packaging","2-propenoic acid, 2-methyl-, 2-hydroxyethyl ester, polymer with 2-propenoic acid and 3,3,4,4,5,5,6,6,7,7,8,8,8-",,,,,"1878204-24-0","A.105","A.105 row: 2-propenoic acid, 2-methyl-, 2-hydroxyethyl ester, polymer with 2-propenoic acid and 3,3,4,4,5,5,6,6,7,7,8,8,8- -- No data"
"Food & feed packaging","2-propenoic acid, 2-methyl-, polymer with 2-hydroxyethyl 2-methyl-2-propenoate, α-(1-oxo-2-propen-1-yl)-ω-hydroxypoly(oxy-1,2-ethanediyl) and 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl 2-propenoate, sodium salt",,,,,"1158951-86-0","A.105","A.105 row: 2-propenoic acid, 2-methyl-, polymer with 2-hydroxyethyl 2-methyl-2-propenoate, α-(1-oxo-2-propen-1-yl)-ω-hydroxypoly(oxy-1,2-ethanediyl) and 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl 2-propenoate, sodium salt -- No data"
"Food & feed packaging","2Butanedioic acid, 2-methylene-, polymer with 2-hydroxyethyl 2-methyl- 2-propenoate, 2-methyl-2-propenoic acid and 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl 2-methyl-2-propenoate, sodium salt",,,,,"1345817-52-8","A.105","A.105 row: 2Butanedioic acid, 2-methylene-, polymer with 2-hydroxyethyl 2-methyl- 2-propenoate, 2-methyl-2-propenoic acid and 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl 2-methyl-2-propenoate, sodium salt -- No data"
"Food & feed packaging","3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl acrylate,","methacrylate acetate",,,,"17527-29-6","A.105","A.105 row: 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl acrylate, or methacrylate acetate -- No data"
